ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,42.22447339998325,42.22447339998325,space,43.70620080002118,,,,,,,,,,,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
0,0,0,0,0,0,0,0,,,,,,,1.0,1.0,0.7525,47.425204399973154,50.425322800001595,[],0,[],50.425322800001595,54.308898899995256,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
1,0,1,0,0,0,0,0,,,,,,,1.0,1.0,0.2575,54.308898899995256,57.30799900001148,[],0,[],57.30799900001148,61.05951130000176,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
2,0,2,0,0,0,0,0,,,,,,,1.0,1.0,0.7525,61.05951130000176,64.05870459997095,[],0,[],64.05870459997095,67.94195870001568,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
3,0,3,0,0,0,0,0,,,,,,,1.0,1.0,0.505,67.94195870001568,70.94185260002268,[],0,[],70.94185260002268,74.87499410001328,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
4,0,4,0,0,0,0,0,,,,,,,1.0,1.0,0.7525,74.87499410001328,77.87500329996692,[],0,[],77.87500329996692,81.64175650000107,710460,001,3,2024-03-30_02h17.14.345,stimuli3,2022.2.5,60.08485183033713,
