ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,35.85699310002383,35.85699310002383,space,36.66802219999954,,,,,,,,,,,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
0,0,0,0,0,0,0,0,,,,,,,1.0,1.0,324.48905840003863,324.48905840003863,327.4888815000304,327.4888815000304,,0,327.4888815000304,330.73951530002523,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
1,0,1,0,0,0,0,0,,,,,,,1.0,0.447213595499958,330.73951530002523,330.73951530002523,333.7556307000341,333.7556307000341,,0,333.7556307000341,337.62178680003854,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
2,0,2,0,0,0,0,0,,,,,,,1.0,5.000000000000001,337.62178680003854,337.62178680003854,340.6219024999882,340.6219024999882,,0,340.6219024999882,344.7566705000354,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
3,0,3,0,0,0,0,0,,,,,,,1.0,0.20000000000000004,344.7566705000354,344.7566705000354,347.77205369999865,347.77205369999865,,1,347.77205369999865,351.6548196999938,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
4,0,4,0,0,0,0,0,,,,,,,1.0,2.2360679774997894,351.6548196999938,351.6548196999938,354.65555440000026,354.65555440000026,,0,354.65555440000026,358.43849540001247,979818,001,3,2024-03-30_01h56.03.626,stimuli3,2022.2.5,59.95211025259998,
