ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,58.287174299999606,58.287174299999606,space,60.48086950001016,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
0,0,0,0,0,0,0,0,,,,,,,1.0,0.5,60.53757949999999,60.53757949999999,60.55411720000848,60.55411720000848,"(-16, 8)",60.55411720000848,60.55411720000848,60.55411720000848,u,1,60.92406220000703,60.95446979999542,61.47072440000193,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
1,0,1,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,61.47072440000193,61.47072440000193,61.48758670000825,61.48758670000825,"(16, 8)",61.48758670000825,61.48758670000825,61.48758670000825,u,0,61.70247950000339,61.72162090000347,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
2,0,2,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,62.23705969999719,62.23705969999719,62.254051900003105,62.254051900003105,"(-16, 8)",62.254051900003105,62.254051900003105,62.254051900003105,u,1,62.2719017000054,62.30431160000444,62.804176400008146,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
3,0,3,0,0,0,0,0,,,,,,,1.0,0.5,62.804176400008146,62.804176400008146,62.82099520000338,62.82099520000338,"(16, 8)",62.82099520000338,62.82099520000338,62.82099520000338,u,0,62.789134600010584,62.83762910000223,63.336934899998596,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
4,0,4,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,63.336934899998596,63.336934899998596,63.35398129999521,63.35398129999521,"(16, 8)",63.35398129999521,63.35398129999521,63.35398129999521,u,0,63.200394600004074,63.370512299996335,63.887281799994525,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
5,0,5,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,63.887281799994525,63.887281799994525,63.90428410000459,63.90428410000459,"(-16, 8)",63.90428410000459,63.90428410000459,63.90428410000459,u,1,63.63084690000687,63.92108030000236,64.43720060000487,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
6,0,6,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,64.43720060000487,64.43720060000487,64.45456430000195,64.45456430000195,"(-16, 8)",64.45456430000195,64.45456430000195,64.45456430000195,u,1,64.26820880000014,64.47075659999973,64.96988030000648,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
7,0,7,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,64.96988030000648,64.96988030000648,64.98750200000359,64.98750200000359,"(-16, 8)",64.98750200000359,64.98750200000359,64.98750200000359,u,1,64.47853459999897,65.00424370000837,65.50441989999672,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
8,0,8,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,65.50441989999672,65.50441989999672,65.52101969999785,65.52101969999785,"(16, 8)",65.52101969999785,65.52101969999785,65.52101969999785,u,0,65.34742650001135,65.53727630000503,66.037539500001,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
9,0,9,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,66.037539500001,66.037539500001,66.05425169999944,66.05425169999944,"(16, -8)",66.05425169999944,66.05425169999944,66.05425169999944,u,0,65.78859060000104,66.07041499999468,66.57121710000501,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
10,0,10,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,66.57121710000501,66.57121710000501,66.58737730000576,66.58737730000576,"(-16, -8)",66.58737730000576,66.58737730000576,66.58737730000576,u,0,66.38720019999892,66.60435330000473,67.10413870000048,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
11,0,11,0,0,0,0,0,,,,,,,1.0,0.5,67.10413870000048,67.10413870000048,67.12052160000894,67.12052160000894,"(-16, -8)",67.12052160000894,67.12052160000894,67.12052160000894,u,0,66.7673775000003,67.13754480000352,67.63735530000122,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
12,0,12,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,67.63735530000122,67.63735530000122,67.65436830000544,67.65436830000544,"(16, -8)",67.65436830000544,67.65436830000544,67.65436830000544,u,0,67.38754920000792,67.67054000000644,68.17046599999594,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
